experiment_id,timestamp,batch_size,homogeneity,iteration,test_accuracy,full_repair_accuracy,batch_repair_time,error_message
stoch_bs5_class_homogeneous_correct_cls0,2025-06-05 17:59:39,5,class_homogeneous_correct,20,0.6014,0.976,11.31851315498352,
stoch_bs5_class_homogeneous_correct_cls0,2025-06-05 17:59:56,5,class_homogeneous_correct,21,0.5448,0.982,7.794241428375244,
stoch_bs5_class_homogeneous_correct_cls0,2025-06-05 18:00:12,5,class_homogeneous_correct,22,0.5291,0.986,6.391445159912109,
stoch_bs5_class_homogeneous_correct_cls0,2025-06-05 18:00:40,5,class_homogeneous_correct,23,0.5291,0.986,7.859747648239136,
stoch_bs5_class_homogeneous_correct_cls0,2025-06-05 18:01:07,5,class_homogeneous_correct,24,0.5291,0.986,10.287792444229126,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:01:35,5,class_homogeneous_correct,1,0.7206,0.837,7.482279539108276,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:01:54,5,class_homogeneous_correct,2,0.7217,0.842,9.094545841217041,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:02:28,5,class_homogeneous_correct,3,0.7217,0.842,16.054178714752197,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:02:55,5,class_homogeneous_correct,4,0.6746,0.951,10.247341632843018,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:03:12,5,class_homogeneous_correct,5,0.6746,0.951,7.473354816436768,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:03:30,5,class_homogeneous_correct,6,0.6746,0.951,7.845763921737671,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:04:00,5,class_homogeneous_correct,7,0.6746,0.951,13.992217779159546,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:04:26,5,class_homogeneous_correct,8,0.6746,0.951,9.783856391906738,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:04:53,5,class_homogeneous_correct,9,0.6746,0.951,10.025475025177002,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:05:17,5,class_homogeneous_correct,10,0.6746,0.951,9.766866445541382,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:05:34,5,class_homogeneous_correct,11,0.6746,0.951,7.851741790771484,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:05:52,5,class_homogeneous_correct,12,0.6746,0.951,7.43347692489624,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:06:12,5,class_homogeneous_correct,13,0.6513,0.961,7.6142168045043945,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:06:38,5,class_homogeneous_correct,14,0.6513,0.961,10.248697996139526,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:07:03,5,class_homogeneous_correct,15,0.6513,0.961,10.007044076919556,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:07:28,5,class_homogeneous_correct,16,0.6513,0.961,9.668545484542847,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:07:46,5,class_homogeneous_correct,17,0.6513,0.961,9.16634750366211,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:08:04,5,class_homogeneous_correct,18,0.6439,0.964,8.283972263336182,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:08:22,5,class_homogeneous_correct,19,0.6439,0.964,7.996676445007324,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:08:50,5,class_homogeneous_correct,20,0.6387,0.966,10.935104131698608,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:09:15,5,class_homogeneous_correct,21,0.6387,0.966,9.582820892333984,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:09:39,5,class_homogeneous_correct,22,0.6387,0.966,9.471089124679565,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:09:56,5,class_homogeneous_correct,23,0.6387,0.966,8.249600648880005,
stoch_bs5_class_homogeneous_correct_cls1,2025-06-05 18:10:13,5,class_homogeneous_correct,24,0.6387,0.966,7.702140808105469,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:10:50,5,class_homogeneous_correct,1,0.6829,0.806,9.152695894241333,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:11:15,5,class_homogeneous_correct,2,0.6829,0.806,10.173871517181396,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:11:39,5,class_homogeneous_correct,3,0.6641,0.821,10.048118352890015,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:11:59,5,class_homogeneous_correct,4,0.6581,0.846,9.131154537200928,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:12:18,5,class_homogeneous_correct,5,0.6202,0.863,9.41646695137024,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:12:49,5,class_homogeneous_correct,6,0.5334,0.913,8.829941511154175,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:13:17,5,class_homogeneous_correct,7,0.4421,0.979,12.536300659179688,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:13:45,5,class_homogeneous_correct,8,0.4421,0.979,10.665136575698853,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:14:04,5,class_homogeneous_correct,9,0.4421,0.979,8.92769479751587,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:14:21,5,class_homogeneous_correct,10,0.4421,0.979,7.8769309520721436,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:14:39,5,class_homogeneous_correct,11,0.4421,0.979,7.663430213928223,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:15:07,5,class_homogeneous_correct,12,0.4421,0.979,11.661433696746826,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:15:32,5,class_homogeneous_correct,13,0.4421,0.979,10.342607259750366,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:15:59,5,class_homogeneous_correct,14,0.4421,0.979,9.9718496799469,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:16:16,5,class_homogeneous_correct,15,0.4044,0.984,8.026484489440918,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:16:35,5,class_homogeneous_correct,16,0.3971,0.989,8.293073177337646,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:16:56,5,class_homogeneous_correct,17,0.3593,0.997,8.22078800201416,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:17:21,5,class_homogeneous_correct,18,0.3593,0.997,10.146683931350708,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:17:46,5,class_homogeneous_correct,19,0.3593,0.997,9.71032452583313,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:18:07,5,class_homogeneous_correct,20,0.3348,0.998,9.681569337844849,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:18:24,5,class_homogeneous_correct,21,0.3348,0.998,8.237104654312134,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:18:42,5,class_homogeneous_correct,22,0.3348,0.998,7.80992865562439,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:19:08,5,class_homogeneous_correct,23,0.3348,0.998,10.106789827346802,
stoch_bs5_class_homogeneous_correct_cls2,2025-06-05 18:19:33,5,class_homogeneous_correct,24,0.3348,0.998,10.022660732269287,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:20:08,5,class_homogeneous_correct,1,0.6928,0.834,7.331016540527344,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:20:23,5,class_homogeneous_correct,2,0.6745,0.893,6.04122519493103,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:20:40,5,class_homogeneous_correct,3,0.6745,0.893,7.765622615814209,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:21:03,5,class_homogeneous_correct,4,0.6055,0.947,6.744093894958496,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:21:28,5,class_homogeneous_correct,5,0.6055,0.947,9.880184173583984,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:21:53,5,class_homogeneous_correct,6,0.5626,0.964,10.293211698532104,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:22:14,5,class_homogeneous_correct,7,0.5626,0.964,9.451165676116943,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:22:31,5,class_homogeneous_correct,8,0.5626,0.964,7.306358814239502,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:22:46,5,class_homogeneous_correct,9,0.5436,0.976,6.147706508636475,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:23:10,5,class_homogeneous_correct,10,0.5436,0.976,8.702697277069092,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:23:36,5,class_homogeneous_correct,11,0.5436,0.976,10.459179162979126,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:24:01,5,class_homogeneous_correct,12,0.535,0.977,10.16639518737793,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:24:19,5,class_homogeneous_correct,13,0.535,0.977,9.223103046417236,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:24:36,5,class_homogeneous_correct,14,0.535,0.977,7.614142894744873,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:24:55,5,class_homogeneous_correct,15,0.51,0.983,8.163396835327148,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:25:21,5,class_homogeneous_correct,16,0.51,0.983,10.586461067199707,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:25:46,5,class_homogeneous_correct,17,0.51,0.983,9.994128227233887,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:26:11,5,class_homogeneous_correct,18,0.51,0.983,9.843841791152954,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:26:29,5,class_homogeneous_correct,19,0.4728,0.99,8.916040897369385,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:26:49,5,class_homogeneous_correct,20,0.4691,0.99,8.166090488433838,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:27:07,5,class_homogeneous_correct,21,0.4691,0.99,8.179105520248413,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:27:32,5,class_homogeneous_correct,22,0.4691,0.99,9.882636308670044,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:27:58,5,class_homogeneous_correct,23,0.4691,0.99,10.123620748519897,
stoch_bs5_class_homogeneous_correct_cls3,2025-06-05 18:28:23,5,class_homogeneous_correct,24,0.4691,0.99,9.977883577346802,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:28:57,5,class_homogeneous_correct,1,0.7208,0.732,9.363412618637085,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:29:13,5,class_homogeneous_correct,2,0.6332,0.858,6.661866188049316,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:29:32,5,class_homogeneous_correct,3,0.6077,0.886,8.24315619468689,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:29:58,5,class_homogeneous_correct,4,0.5658,0.923,7.43975305557251,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:30:23,5,class_homogeneous_correct,5,0.4987,0.968,10.232651233673096,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:30:49,5,class_homogeneous_correct,6,0.4721,0.978,10.577243566513062,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:31:07,5,class_homogeneous_correct,7,0.4721,0.978,9.870798826217651,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:31:24,5,class_homogeneous_correct,8,0.4721,0.978,7.5671210289001465,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:31:42,5,class_homogeneous_correct,9,0.4721,0.978,8.080226421356201,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:32:08,5,class_homogeneous_correct,10,0.4721,0.978,10.056715488433838,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:32:32,5,class_homogeneous_correct,11,0.4721,0.978,10.039354085922241,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:32:58,5,class_homogeneous_correct,12,0.4721,0.978,9.830806255340576,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:33:15,5,class_homogeneous_correct,13,0.4721,0.978,9.103423833847046,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:33:33,5,class_homogeneous_correct,14,0.3855,0.989,8.15216851234436,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:33:53,5,class_homogeneous_correct,15,0.3855,0.989,8.080949306488037,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:34:21,5,class_homogeneous_correct,16,0.3855,0.989,11.058628797531128,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:34:47,5,class_homogeneous_correct,17,0.3855,0.989,10.264664649963379,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:35:15,5,class_homogeneous_correct,18,0.3807,0.989,11.074681282043457,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:35:34,5,class_homogeneous_correct,19,0.3807,0.989,7.894747972488403,
stoch_bs5_class_homogeneous_correct_cls4,2025-06-05 18:35:53,5,class_homogeneous_correct,20,0.3807,0.989,8.202838897705078,
